transaction_id,transaction_address_1,transaction_address_2,transaction_city,transaction_state,transaction_zip,normalized_transaction,canonical_id,canonical_address_1,canonical_address_2,canonical_city,canonical_state,canonical_zip,normalized_canonical,match_type,match_score,match_status
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,139 Skillman Avenue,Unit 9A,Brooklyn,NY,11211,139 Skillman Avenue Unit 9A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7619047619047619,matched
none-234-powers-street-none-brooklyn-ny-11211,234 Powers Street,,Brooklyn,NY,11211,234 Powers Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.75,matched
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211,30 Bushwick Avenue,Unit 4D,Brooklyn,NY,11211,30 Bushwick Avenue Unit 4D Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.75,matched
none-264-north-9th-street-none-brooklyn-ny-11211,264 North 9th Street,,Brooklyn,NY,11211,264 North 9th Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.75,matched
none-80-roebling-street-unit-1-brooklyn-ny-11211,80 Roebling Street,Unit 1,Brooklyn,NY,11211,80 Roebling Street Unit 1 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.75,matched
none-80-roebling-street-unit-1-brooklyn-ny-11211-0,80 Roebling Street,Unit 1,Brooklyn,NY,11211,80 Roebling Street Unit 1 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.75,matched
none-manhattan-avenue-unit-2-brooklyn-ny-11211,Manhattan Avenue,Unit 2,Brooklyn,NY,11211,Manhattan Avenue Unit 2 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.75,matched
none-277-south-2nd-street-none-brooklyn-ny-11211,277 South 2nd Street,,Brooklyn,NY,11211,277 South 2nd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.75,matched
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,Manhattan Avenue,Unit 2R,Brooklyn,NY,11211,Manhattan Avenue Unit 2R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.75,matched
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211,174 North 6th Street,,Brooklyn,NY,11211,174 North 6th Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.75,matched
none-union-avenue-unit-206-brooklyn-ny-11211,Union Avenue,Unit 206,Brooklyn,NY,11211,Union Avenue Unit 206 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.75,matched
none-432-grand-street-unit-201-brooklyn-ny-11211,432 Grand Street,Unit 201,Brooklyn,NY,11211,432 Grand Street Unit 201 Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211,40 Skillman Avenue,Unit 3B,Brooklyn,NY,11211,40 Skillman Avenue Unit 3B Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,850 Metropolitan Avenue,Unit 1E,Brooklyn,NY,11211,850 Metropolitan Avenue Unit 1E Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-30-bushwick-avenue-unit-5c-brooklyn-ny-11211,30 Bushwick Avenue,Unit 5C,Brooklyn,NY,11211,30 Bushwick Avenue Unit 5C Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211-0,40 Skillman Avenue,Unit 3B,Brooklyn,NY,11211,40 Skillman Avenue Unit 3B Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-30-bushwick-avenue-unit-6b-brooklyn-ny-11211,30 Bushwick Avenue,Unit 6B,Brooklyn,NY,11211,30 Bushwick Avenue Unit 6B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-256-withers-street-unit-6fam-brooklyn-ny-11211,256 Withers Street,Unit 6FAM,Brooklyn,NY,11211,256 Withers Street Unit 6FAM Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-30-bushwick-avenue-unit-7a-brooklyn-ny-11211,30 Bushwick Avenue,Unit 7A,Brooklyn,NY,11211,30 Bushwick Avenue Unit 7A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-153-south-4th-street-unit-5-williamsburg-ny-11211,153 South 4th Street,Unit 5,Williamsburg,NY,11211,153 South 4th Street Unit 5 Williamsburg NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-308-north-7th-street-unit-4d-brooklyn-ny-11211,308 North 7th Street,Unit 4D,Brooklyn,NY,11211,308 North 7th Street Unit 4D Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,30 Bushwick Avenue,Unit 5A,Brooklyn,NY,11211,30 Bushwick Avenue Unit 5A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-100-maspeth-avenue-unit-7c-brooklyn-ny-11211,100 Maspeth Avenue,Unit 7C,Brooklyn,NY,11211,100 Maspeth Avenue Unit 7C Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-50-bayard-street-unit-3j-brooklyn-ny-11211,50 Bayard Street,Unit 3J,Brooklyn,NY,11211,50 Bayard Street Unit 3J Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7391304347826086,matched
none-512-lorimer-street-none-brooklyn-ny-11211,512 Lorimer Street,,Brooklyn,NY,11211,512 Lorimer Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7368421052631579,matched
none-north-8th-street-none-brooklyn-ny-11211-0,North 8th Street,,Brooklyn,NY,11211,North 8th Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7368421052631579,matched
none-311-leonard-street-none-brooklyn-ny-11211,311 Leonard Street,,Brooklyn,NY,11211,311 Leonard Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7368421052631579,matched
none-grand-street-none-brooklyn-ny-11211,Grand Street,,Brooklyn,NY,11211,Grand Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7368421052631579,matched
none-grand-street-none-brooklyn-ny-11211-0,Grand Street,,Brooklyn,NY,11211,Grand Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7368421052631579,matched
none-north-8th-street-none-brooklyn-ny-11211,North 8th Street,,Brooklyn,NY,11211,North 8th Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7368421052631579,matched
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211-0,550 Metropolitan Avenue,Unit COMM,Brooklyn,NY,11211,550 Metropolitan Avenue Unit COMM Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211,550 Metropolitan Avenue,Unit COMM,Brooklyn,NY,11211,550 Metropolitan Avenue Unit COMM Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-165-north-10th-street-unit-3a-brooklyn-ny-11211,165 North 10th Street,Unit 3A,Brooklyn,NY,11211,165 North 10th Street Unit 3A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-207-north-8th-street-unit-ph-brooklyn-ny-11211-0,207 North 8th Street,Unit PH,Brooklyn,NY,11211,207 North 8th Street Unit PH Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-30-bayard-street-unit-5f-brooklyn-ny-11211,30 Bayard Street,Unit 5F,Brooklyn,NY,11211,30 Bayard Street Unit 5F Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,Manhattan Avenue,Unit 4F,Brooklyn,NY,11211,Manhattan Avenue Unit 4F Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-maspeth-avenue-unit-2d-brooklyn-ny-11211,Maspeth Avenue,Unit 2D,Brooklyn,NY,11211,Maspeth Avenue Unit 2D Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-139-skillman-avenue-unit-7a-brooklyn-ny-11211,139 Skillman Avenue,Unit 7A,Brooklyn,NY,11211,139 Skillman Avenue Unit 7A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-207-north-8th-street-unit-ph-brooklyn-ny-11211,207 North 8th Street,Unit PH,Brooklyn,NY,11211,207 North 8th Street Unit PH Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-150-north-5th-street-unit-3j-brooklyn-ny-11211,150 North 5th Street,Unit 3J,Brooklyn,NY,11211,150 North 5th Street Unit 3J Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-bedford-avenue-unit-8-brooklyn-ny-11211,Bedford Avenue,Unit 8,Brooklyn,NY,11211,Bedford Avenue Unit 8 Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-170-north-11th-street-unit-3d-brooklyn-ny-11211,170 North 11th Street,Unit 3D,Brooklyn,NY,11211,170 North 11th Street Unit 3D Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,139 Skillman Avenue,Unit 8A,Brooklyn,NY,11211,139 Skillman Avenue Unit 8A Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-476-union-avenue-unit-4bb-brooklyn-ny-11211,476 Union Avenue,Unit 4BB,Brooklyn,NY,11211,476 Union Avenue Unit 4BB Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-maspeth-avenue-unit-2d-brooklyn-ny-11211-0,Maspeth Avenue,Unit 2D,Brooklyn,NY,11211,Maspeth Avenue Unit 2D Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-manhattan-avenue-unit-4f-brooklyn-ny-11211-0,Manhattan Avenue,Unit 4F,Brooklyn,NY,11211,Manhattan Avenue Unit 4F Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,550 Metropolitan Avenue,Unit COMMERCIAL,Brooklyn,NY,11211,550 Metropolitan Avenue Unit COMMERCIAL Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7272727272727273,matched
none-237-devoe-street-unit-1r-brooklyn-ny-11211,237 Devoe Street,Unit 1R,Brooklyn,NY,11211,237 Devoe Street Unit 1R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-230-south-2nd-street-none-brooklyn-ny-11211-0,230 South 2nd Street,,Brooklyn,NY,11211,230 South 2nd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-526-union-avenue-unit-206-brooklyn-ny-11211-0,526 Union Avenue,Unit 206,Brooklyn,NY,11211,526 Union Avenue Unit 206 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-230-south-2nd-street-none-brooklyn-ny-11211,230 South 2nd Street,,Brooklyn,NY,11211,230 South 2nd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-30-devoe-street-unit-2b-brooklyn-ny-11211,30 Devoe Street,Unit 2B,Brooklyn,NY,11211,30 Devoe Street Unit 2B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-526-union-avenue-unit-206-brooklyn-ny-11211,526 Union Avenue,Unit 206,Brooklyn,NY,11211,526 Union Avenue Unit 206 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,Manhattan Avenue,Unit 3R,Brooklyn,NY,11211,Manhattan Avenue Unit 3R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-183-south-2nd-street-none-brooklyn-ny-11211-0,183 South 2nd Street,,Brooklyn,NY,11211,183 South 2nd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-183-south-2nd-street-none-brooklyn-ny-11211,183 South 2nd Street,,Brooklyn,NY,11211,183 South 2nd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-237-devoe-street-unit-1r-brooklyn-ny-11211-0,237 Devoe Street,Unit 1R,Brooklyn,NY,11211,237 Devoe Street Unit 1R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-590-lorimer-street-unit-1-brooklyn-ny-11211,590 Lorimer Street,Unit 1,Brooklyn,NY,11211,590 Lorimer Street Unit 1 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-684-lorimer-street-none-brooklyn-ny-11211,684 Lorimer Street,,Brooklyn,NY,11211,684 Lorimer Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-684-lorimer-street-none-brooklyn-ny-11211-0,684 Lorimer Street,,Brooklyn,NY,11211,684 Lorimer Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-270-south-2nd-street-none-brooklyn-ny-11211,270 South 2nd Street,,Brooklyn,NY,11211,270 South 2nd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-30-devoe-street-unit-2b-brooklyn-ny-11211-0,30 Devoe Street,Unit 2B,Brooklyn,NY,11211,30 Devoe Street Unit 2B Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7142857142857143,matched
none-465-humboldt-street-none-williamsburg-ny-11211,465 Humboldt Street,,Williamsburg,NY,11211,465 Humboldt Street Williamsburg NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7083333333333334,matched
none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,100 Maspeth Avenue,Unit 2J,Brooklyn,NY,11211,100 Maspeth Avenue Unit 2J Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.7083333333333334,matched
none-177-hooper-street-none-brooklyn-ny-11211,177 Hooper Street,,Brooklyn,NY,11211,177 Hooper Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7,matched
none-havemeyer-street-none-brooklyn-ny-11211,Havemeyer Street,,Brooklyn,NY,11211,Havemeyer Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7,matched
none-96-roebling-street-none-brooklyn-ny-11211,96 Roebling Street,,Brooklyn,NY,11211,96 Roebling Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7,matched
none-manhattan-avenue-none-brooklyn-ny-11211-0,Manhattan Avenue,,Brooklyn,NY,11211,Manhattan Avenue Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7,matched
none-manhattan-avenue-none-brooklyn-ny-11211,Manhattan Avenue,,Brooklyn,NY,11211,Manhattan Avenue Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7,matched
none-havemeyer-street-none-brooklyn-ny-11211-0,Havemeyer Street,,Brooklyn,NY,11211,Havemeyer Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.7,matched
none-218-north-5th-street-none-brooklyn-ny-11211,218 North 5th Street,,Brooklyn,NY,11211,218 North 5th Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.7,matched
none-union-avenue-unit-4d-5d-brooklyn-ny-11211,Union Avenue,Unit 4D/5D,Brooklyn,NY,11211,Union Avenue Unit 4D/5D Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.6956521739130435,matched
none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,361 Manhattan Avenue,Unit 4A,Brooklyn,NY,11211,361 Manhattan Avenue Unit 4A Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6956521739130435,matched
none-250-manhattan-avenue-unit-4r-brooklyn-ny-11211,250 Manhattan Avenue,Unit 4R,Brooklyn,NY,11211,250 Manhattan Avenue Unit 4R Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6956521739130435,matched
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211,Metropolitan Avenue,Unit 5H,Brooklyn,NY,11211,Metropolitan Avenue Unit 5H Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.6956521739130435,matched
none-308-north-7th-street-unit-phb-brooklyn-ny-11211,308 North 7th Street,Unit PHB,Brooklyn,NY,11211,308 North 7th Street Unit PHB Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6956521739130435,matched
none-devoe-street-none-brooklyn-ny-11211-0,Devoe Street,,Brooklyn,NY,11211,Devoe Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6842105263157895,matched
none-devoe-street-none-brooklyn-ny-11211,Devoe Street,,Brooklyn,NY,11211,Devoe Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6842105263157895,matched
none-156-devoe-street-unit-1f-brooklyn-ny-11211,156 Devoe Street,Unit 1F,Brooklyn,NY,11211,156 Devoe Street Unit 1F Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-156-devoe-street-unit-1f-brooklyn-ny-11211-0,156 Devoe Street,Unit 1F,Brooklyn,NY,11211,156 Devoe Street Unit 1F Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-532-lorimer-street-unit-1b-williamsburg-ny-11211,532 Lorimer Street,Unit 1B,Williamsburg,NY,11211,532 Lorimer Street Unit 1B Williamsburg NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-360-south-3rd-street-none-brooklyn-ny-11211-0,360 South 3rd Street,,Brooklyn,NY,11211,360 South 3rd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-360-south-3rd-street-none-brooklyn-ny-11211,360 South 3rd Street,,Brooklyn,NY,11211,360 South 3rd Street Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,Manhattan Avenue,Unit 3F,Brooklyn,NY,11211,Manhattan Avenue Unit 3F Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211-0,250 Manhattan Avenue,Unit 2R,Brooklyn,NY,11211,250 Manhattan Avenue Unit 2R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-532-lorimer-street-unit-1b-williamsburg-ny-11211-0,532 Lorimer Street,Unit 1B,Williamsburg,NY,11211,532 Lorimer Street Unit 1B Williamsburg NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-manhattan-avenue-unit-3f-brooklyn-ny-11211-0,Manhattan Avenue,Unit 3F,Brooklyn,NY,11211,Manhattan Avenue Unit 3F Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211,250 Manhattan Avenue,Unit 2R,Brooklyn,NY,11211,250 Manhattan Avenue Unit 2R Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-284-manhattan-avenue-none-brooklyn-ny-11211,284 Manhattan Avenue,,Brooklyn,NY,11211,284 Manhattan Avenue Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6818181818181818,matched
none-329-grand-street-none-brooklyn-ny-11211-0,329 Grand Street,,Brooklyn,NY,11211,329 Grand Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,476 Union Avenue,Unit PH5A,Brooklyn,NY,11211,476 Union Avenue Unit PH5A Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-705-driggs-avenue-unit-13-brooklyn-ny-11211,705 Driggs Avenue,Unit 13,Brooklyn,NY,11211,705 Driggs Avenue Unit 13 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-234-powers-street-unit-6-williamsburg-ny-11211,234 Powers Street,Unit 6,Williamsburg,NY,11211,234 Powers Street Unit 6 Williamsburg NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
none-329-grand-street-none-brooklyn-ny-11211,329 Grand Street,,Brooklyn,NY,11211,329 Grand Street Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.6666666666666666,matched
